file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,153,css,692f88ee,Turki Alrasheed,2025-04-08,23:52:30,-07:00,2025-04-08T23:52:30-07:00,0,21
style.css,154,css,692f88ee,Turki Alrasheed,2025-04-08,23:52:30,-07:00,2025-04-08T23:52:30-07:00,0,16
style.css,155,css,9b90268a,Turki Alrasheed,2025-04-13,14:40:14,-07:00,2025-04-13T14:40:14-07:00,0,0
style.css,156,css,9b90268a,Turki Alrasheed,2025-04-13,14:40:14,-07:00,2025-04-13T14:40:14-07:00,0,0
style.css,157,css,9b90268a,Turki Alrasheed,2025-04-13,14:40:14,-07:00,2025-04-13T14:40:14-07:00,0,0
style.css,158,css,9b90268a,Turki Alrasheed,2025-04-13,14:40:14,-07:00,2025-04-13T14:40:14-07:00,0,14
style.css,159,css,9b90268a,Turki Alrasheed,2025-04-13,14:40:14,-07:00,2025-04-13T14:40:14-07:00,0,18
style.css,160,css,9b90268a,Turki Alrasheed,2025-04-13,14:40:14,-07:00,2025-04-13T14:40:14-07:00,0,9
style.css,161,css,9b90268a,Turki Alrasheed,2025-04-13,14:40:14,-07:00,2025-04-13T14:40:14-07:00,0,11
style.css,162,css,9b90268a,Turki Alrasheed,2025-04-13,14:40:14,-07:00,2025-04-13T14:40:14-07:00,0,14
style.css,163,css,9b90268a,Turki Alrasheed,2025-04-13,14:40:14,-07:00,2025-04-13T14:40:14-07:00,0,20
style.css,164,css,9b90268a,Turki Alrasheed,2025-04-13,14:40:14,-07:00,2025-04-13T14:40:14-07:00,0,20
style.css,165,css,9b90268a,Turki Alrasheed,2025-04-13,14:40:14,-07:00,2025-04-13T14:40:14-07:00,0,11
style.css,166,css,9b90268a,Turki Alrasheed,2025-04-13,14:40:14,-07:00,2025-04-13T14:40:14-07:00,0,0
style.css,167,css,9b90268a,Turki Alrasheed,2025-04-13,14:40:14,-07:00,2025-04-13T14:40:14-07:00,0,0
style.css,168,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,18
style.css,169,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,13
style.css,170,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,37
style.css,171,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,11
style.css,172,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,18
style.css,173,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,16
style.css,174,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,41
style.css,175,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,30
style.css,176,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,13
style.css,177,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,19
style.css,178,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,23
style.css,179,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,0
style.css,180,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,0
style.css,181,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,18
style.css,182,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,17
style.css,183,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,11
style.css,184,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,9
style.css,185,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,0
style.css,186,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,0
style.css,187,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,18
style.css,188,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,9
style.css,189,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,17
style.css,190,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,11
style.css,191,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,0
style.css,192,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,14
style.css,193,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,14
style.css,194,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,14
style.css,195,css,a261214f,Turki Alrasheed,2025-04-21,19:42:18,-07:00,2025-04-21T19:42:18-07:00,0,17
style.css,196,css,a261214f,Turki Alrasheed,2025-04-21,19:42:18,-07:00,2025-04-21T19:42:18-07:00,0,21
style.css,197,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,16
style.css,198,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,0
style.css,199,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,16
style.css,200,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,21
style.css,201,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,23
style.css,202,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,25
style.css,203,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,11
style.css,204,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,21
style.css,205,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,18
style.css,206,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,18
style.css,207,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,16
style.css,208,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,38
style.css,209,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,0
style.css,210,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,21
style.css,211,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,14
style.css,212,css,a261214f,Turki Alrasheed,2025-04-21,19:42:18,-07:00,2025-04-21T19:42:18-07:00,0,17
style.css,213,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,0
style.css,214,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,0
style.css,215,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,0
style.css,216,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,0
style.css,217,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,0
style.css,218,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,22
style.css,219,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,25
style.css,220,css,42208fb1,Turki Alrasheed,2025-04-21,16:52:17,-07:00,2025-04-21T16:52:17-07:00,0,0
